"country","region","last_obs_year","last_obs_mcpr","K_mean","t0_year_mean","years_since_t0_lastobs_mean","model_dpdt_lastobs_pp_per_year","model_dpdt_2026_pp_per_year","latest_obs_interval_growth_pp_per_year","max_obs_interval_growth_pp_per_year","required_growth_pp_per_year","investment_phase","s_curve_stage","projected_year_reach_40","target40_status"
"Burkina Faso","West Africa",2021,0.279405982804968,0.884530673842804,2031,-10.1915317337825,1.46115301006978,1.63168085494439,1.24370705032564,1.24370705032564,1.20594017195032,"Scale-up","Stage 2: diffusion",2028.75039412445,"Projected to cross by 2035"
"Sierra Leone","West Africa",2019,0.239284596691412,0.819623666086235,2030,-10.6374250509953,1.33113825582967,1.53799682683273,0.508219195524317,2.53714193460751,1.60715403308588,"Scale-up","Stage 2: diffusion",2029.20470096747,"Projected to cross by 2035"
"Niger","West Africa",2012,0.109933234846429,0.613821143139582,2034,-21.5805865687678,0.630773511206265,1.08050477421606,1.07538934923814,1.07538934923814,2.90066765153571,"Scale-up","Stage 1: initial",2042.25910455608,"Projected to cross after 2035"
"Togo","West Africa",2013,0.167395012737612,0.395924455365838,2017,-3.69169371875343,0.739243402542851,0.672221149047447,0.591781016525635,0.591781016525635,2.32604987262388,"Scale-up","Stage 2: diffusion",2056.13065242674,"Projected to cross after 2035"
"Gambia","West Africa",2019,0.122295761745874,0.469038491724904,2034,-15.0404708719277,0.65511619312092,0.819038078706796,0.953634545446252,0.953634545446252,2.77704238254126,"Scale-up","Stage 2: diffusion",2057.7750246545,"Projected to cross after 2035"
"Liberia","West Africa",2019,0.253048793498329,0.379816393168445,2012,7.33671733160238,0.674256115648092,0.547884330499082,0.798536056370316,1.46558451497242,1.46951206501671,"Scale-up","Stage 2: diffusion",2064.5594549453,"Projected to cross after 2035"
"Mali","West Africa",2023,0.180591149097891,0.356354754363702,2023,0.242664292335698,0.683850076915174,0.67373350007403,0.52866972603728,0.974714658311098,2.19408850902109,"Scale-up","Stage 2: diffusion",2082.75107149653,"Projected to cross after 2035"
"Benin","West Africa",2017,0.116720137394299,0.213962206898084,2015,1.86286411308635,0.407727214956455,0.347630679931969,0.544303486227996,0.719359190045148,2.83279862605701,"Build / monitor","Stage 2: diffusion",NA,"Not projected to cross"
"Cote d'Ivoire","West Africa",2021,0.190186155243145,0.269058087099917,2010,11.0581408688287,0.433998624148625,0.361653990256557,0.566797879257944,1.03499627389293,2.09813844756855,"Build / monitor","Stage 2: diffusion",NA,"Not projected to cross"
"Ghana","West Africa",2022,0.234376863828137,0.29535843606745,2006,16.0995195976843,0.396009087145457,0.329341785114794,0.659205819770813,0.92219967514338,1.65623136171863,"Build / monitor","Stage 2: diffusion",NA,"Not projected to cross"
"Guinea","West Africa",2018,0.114285827113167,0.184470081546821,2014,4.47517647174648,0.34293826591702,0.285051550504473,0.731850809831205,0.731850809831205,2.85714172886833,"Build / monitor","Stage 2: diffusion",NA,"Not projected to cross"
"Nigeria","West Africa",2024,0.13104165101535,0.144556741424995,1999,25.2179391384042,0.122386757944973,0.108830490070893,0.431898191134883,0.431898191134883,2.6895834898465,"Build / monitor","Stage 3: plateau",NA,"Not projected to cross"
"Senegal","West Africa",2023,0.174527653745172,0.341045309340814,2019,4.31041422008652,0.637503885189226,0.606253996243052,-0.112460417094599,2.3032215353686,2.25472346254828,"Scale-up","Stage 2: diffusion",NA,"Not projected to cross"
"Congo","Central Africa",2011,0.222894903296517,0.353148396450119,2008,3.21980298304678,1.38821153102802,0.253537243697577,1.46407981276373,1.46407981276373,1.77105096703483,"Build / monitor","Stage 2: diffusion",2033.30217649468,"Projected to cross by 2035"
"Cameroon","Central Africa",2018,0.163836351658967,0.175409351680846,1998,20.3171582825372,0.0893828874637833,0.0241297918279754,0.0334740957875002,0.994127419341189,2.36163648341033,"Maintain / equity","Stage 3: plateau",NA,"Not projected to cross"
"Chad","Central Africa",2014,0.0484411769242257,0.0658100619693086,2008,5.85842091503618,0.220529463731607,0.0502722827876659,0.333385537315759,0.333385537315759,3.51558823075774,"Build / monitor","Stage 2: diffusion",NA,"Not projected to cross"
"Congo Democratic Republic","Central Africa",2023,0.0989393506970059,0.101508904745192,2004,19.2985827869828,0.0610840346635541,0.037851714538018,0.177281174401292,0.244413885617252,3.01060649302994,"Maintain / equity","Stage 3: plateau",NA,"Not projected to cross"
"Gabon","Central Africa",2019,0.171286150617783,0.202786477284566,1972,46.9383274115454,0.00173725931762364,0.000531086156414032,-0.974809149770986,-0.974809149770986,2.28713849382217,"Maintain / equity","Stage 3: plateau",NA,"Not projected to cross"
"Namibia","East/Southern Africa",2013,0.497159535693403,0.544428022037765,1995,18.2458615625513,0.518091841317203,0.0976150618112324,0.5793100984614,1.95602162357304,0,"Build / monitor","Stage 3: plateau",2013,"Already crossed"
"Zimbabwe","East/Southern Africa",2015,0.478755957265201,0.443882295469354,1987,28.2043158398632,0.119588770718103,0.0269649719546711,1.47190348819408,1.47190348819408,0,"Maintain / equity","Stage 3: plateau",2015,"Already crossed"
"South Africa","East/Southern Africa",2016,0.478773473282353,0.491951726498,1968,47.9442674232625,0.00918689470268749,0.00231001791997062,-0.0811745813016947,-0.0811745813016947,0,"Maintain / equity","Stage 3: plateau",2016,"Already crossed"
"Rwanda","East/Southern Africa",2019,0.351298453354893,0.543600151978824,2014,4.71563611908661,1.69263541537545,1.03743082936092,1.8418731036531,4.48214132086965,0.48701546645107,"Scale-up","Stage 2: diffusion",2021.71966581984,"Projected to cross by 2035"
"Kenya","East/Southern Africa",2022,0.419868867938313,0.412878530000999,1996,26.4862692729658,0.139407184157761,0.0819203128783491,0.3566606207968,1.86227028491478,0,"Build / monitor","Stage 3: plateau",2022,"Already crossed"
"Lesotho","East/Southern Africa",2023,0.532158420005745,0.588740302673502,2005,17.8574868472382,0.586325065211516,0.408682288066791,0.520700740349433,2.7310736836579,0,"Build / monitor","Stage 3: plateau",2023,"Already crossed"
"Malawi","East/Southern Africa",2024,0.5296723957499,0.567611911336274,2006,17.9097193543789,0.561481913242499,0.442258593204547,0.868525458934378,2.50521764164566,0,"Build / monitor","Stage 3: plateau",2024,"Already crossed"
"Ethiopia","East/Southern Africa",2019,0.280777731318228,0.440127833324103,2014,4.89179526152109,1.35981935303759,0.82658199036239,1.0715296324032,1.50356694038053,1.19222268681772,"Scale-up","Stage 2: diffusion",2031.09683184471,"Projected to cross by 2035"
"Zambia","East/Southern Africa",2024,0.384288593842627,0.397872021996217,2003,21.0367392709223,0.269985083042935,0.209982045807019,0.722676268579133,1.31477347725043,0.15711406157373,"Build / monitor","Stage 3: plateau",2044.52945233216,"Projected to cross after 2035"
"Madagascar","East/Southern Africa",2021,0.340949162587376,0.397858342573024,2007,13.8701137376169,0.614727467862153,0.351495683241048,0.854018003357369,2.23580435822247,0.59050837412624,"Build / monitor","Stage 3: plateau",2045.24850185682,"Projected to cross after 2035"
"Angola","East/Southern Africa",2023,0.139111969545999,0.146503510560834,2002,21.3915812762167,0.102515499525715,0.0705334349007741,0.180701400605037,0.180701400605037,2.60888030454001,"Build / monitor","Stage 3: plateau",NA,"Not projected to cross"
"Burundi","East/Southern Africa",2016,0.14574983802506,0.194933208869999,2008,7.95608379342764,0.505971751149724,0.193991888047529,0.59531142541805,0.59531142541805,2.5425016197494,"Build / monitor","Stage 2: diffusion",NA,"Not projected to cross"
"Comoros","East/Southern Africa",2012,0.0985179320706266,0.101012418535914,1986,26.0517361539067,0.040808937263351,0.00626483904470857,0.130081337736498,0.130081337736498,3.01482067929373,"Maintain / equity","Stage 3: plateau",NA,"Not projected to cross"
"Mozambique","East/Southern Africa",2022,0.250311161307126,0.230421677315708,2000,22.3744501624578,0.132422133239476,0.0790676669639767,1.17732958764442,2.70803701212213,1.49688838692874,"Build / monitor","Stage 3: plateau",NA,"Not projected to cross"
"Tanzania","East/Southern Africa",2022,0.25425034401086,0.283327700066551,2000,22.4283412840351,0.161561893640513,0.0964311874629547,-0.242275722052728,1.46193458454103,1.4574965598914,"Build / monitor","Stage 3: plateau",NA,"Not projected to cross"
"Uganda","East/Southern Africa",2016,0.272883816057891,0.301948951773048,2003,13.3412734302299,0.492479453445373,0.153421670403831,1.32202351612526,1.8153176693822,1.27116183942109,"Build / monitor","Stage 3: plateau",NA,"Not projected to cross"
